Description,Title,Department,Manager
400812,Piler Operator,HSM Operation - Production,402121
400813,Finishing Assistant,Rolling Mills (3),401124
400816,Roller Operator,Rolling Mill (1),400248
400817,Field Operator,Direct Reduction Plant 1,401272
400818,Sr.Shift Operator RO1 Plant FW NG,Utility Operation 1,400635
400819,Senior Shift Operator ASP2,Utility Operation 2,400659
400820,Shift Guide Fitter,Rolling Mills - Roll Shop,402564
400822,Process Engineer DRP 1,Direct Reduction Plant 1&2,401612
400825,Cashier,Finance & Costing,400370
400826,Head of Utility Operation 1,Utility Operation 1,400450
400827,Shift Controller (Semi Finished),Rolling Mills - Material Handling,400559
400828,Shift Operator RO2 Plant FW NG,Utility Operation 2,400635
400829,Quality Assurance Coordinator,Quality Assurance,400702
400831,Roller Operator,HSM Operation - Production,402146
400833,Shift Supervisor E&AM,HSM Maintenance - Electrical &Automation,400536
400834,Weighbridge Operator,Weighbridge,400345
400835,Mill Assistant,Rolling Mills (3),401584
400836,"DS RM1,2,3,5 Mechanical Technician","RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400837,Weighbridge Operator,Weighbridge,400345
400838,Senior E&AM Technician - DS,HSM Maintenance - Electrical &Automation,400536
400840,Document Controller,CEO Office,402535
400841,Finishing Assistant,Rolling Mills (3),400586
400842,Iron Works Technician,Workshop,400533
400845,Desktop Support Supervisor,Information Technology,402754
400846,Sr. Shift Optr RM 1 WTP CAP SWS,Utility Operation 1,400614
400848,Furnace Operator,Rolling Mill (1),400219
400849,Senior Roller,Rolling Mill (1),400248
400850,Quality Control Inspector Ph1,"Inspection and Testing RM1,2 & 3",402484
400852,Office Boy,Housing & GS,400334
400853,Supervisor Instrumentation - DS,HSM Maintenance - Electrical &Automation,400536
400855,Crane Operator II (Finished),Rolling Mills - Material Handling,400604
400857,MH Mechanical Technician,EISC Cranes & Engineering,400882
400858,Day Shift RM Senior Maint. Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400859,Shift Operator RO2 Plant FW NG,Utility Operation 2,400614
400860,Office Boy,Housing & GS,400334
400862,Mechanical Test House Technician,"Inspection and Testing RM1,2 & 3",402484
400864,Senior Shift Operator SMP2/DRP2 WTP,Utility Operation 2,400659
400865,Sr. Operator,Rolling Mills - Roll Shop,409998
400868,Quality Control Inspector Ph1,"Inspection and Testing RM1,2 & 3",402484
400871,"DS RM1,2,3,5 Mechanical Technician","RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400872,Crane Mechanical Supervisor - Ph 1,Cranes - Mechanical,402937
400873,DS Shift Sr SMP Maint Technician,SMP 1 and 1&2 Maintenance,400746
400874,Senior E&AM Technician - DS,HSM Maintenance - Electrical &Automation,400536
400875,Weighbridge Operator,Weighbridge,400345
400876,Finishing Assistant,"RM1,2,3 & 5 / Rolling Mill (2)",400677
400877,Shift Electrical Technician,OP / E&AM / SMP 2,402150
400878,"RM 2, 3 Shift  E&A Supervisor","RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400880,Cold Shear Operator,"RM1,2,3 & 5 / Rolling Mill (2)",400667
400882,MH Maintenance Supervisor,EISC Cranes & Engineering,401327
400884,RM2 &3 Shift Maintenance Supervisor,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400888,Coordinator - Central Crane Maintenance,Cranes - Mechanical,400495
400889,Grinding Operator,Rolling Mills - Roll Shop,409998
400891,Weighbridge Operator,Weighbridge,400334
400892,Sr. Shift Optr RM 1 WTP CAP SWS,Utility Operation 1,400614
400893,Production Supervisor,Direct Reduction Plant 1,400457
400894,Senior Finishing Technician,Workshop,400749
400895,Receivable Accountant,Finance & Costing,400370
400896,Senior Panel Operator,Direct Reduction Plant 1,400935
400897,Mechanical Test House Technician,"Inspection and Testing RM1,2 & 3",402484
400898,Roller Operator,Rolling Mills (2),400677
400899,RM2 & 3 Shift  Maintenance Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400900,RM2 & 3 Shift Senior Maint. Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400901,Crane Operator II (Semi Finished),Rolling Mills - Material Handling,400721
400902,DRP 1&2 Maint. Technician,DRP 1 Maint.,400532
400903,"Senior Roll , Stand & Guide Fitter","RM1,2,3 & 5 / Roll Shop",402564
400904,Guide Fitter,Rolling Mills - Roll Shop,402564
400905,Roll & Stand Fitter,Rolling Mills - Roll Shop,402564
400906,Iron Works Technician,Workshop,400533
400908,Senior Panel Operator,Direct Reduction Plant 1,401291
400909,Iron Works Technician,Workshop,400533
400911,Shift Supervisor,Rolling Mills (3),400445
400917,Casting Operator,SMP1 CCM (Continues Casting Machine),401051
400918,Weighbridge Operator,Weighbridge,400345
400920,Melter,SMP1 EAF/LF,401339
400921,Sampler Ph1,"Inspection and Testing RM1,2 & 3",402484
400922,Senior Shift Operator SMP2/DRP2 WTP,Utility Operation 2,400659
400923,Shift Controller (Finished),Rolling Mills - Material Handling,400559
400925,"RM 2, 3 Shift  E&A Supervisor","RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400927,Senior Panel Operator,Direct Reduction Plant 1,400893
400929,Panel Operator,Direct Reduction Plant 1,400935
400931,Senior Iron Works Technician,Workshop,400533
400932,Production Supervisor,Direct Reduction Plant  2,401071
400935,Production Supervisor,Direct Reduction Plant 1,400457
400937,Process Engineer SMP2,Steel Making Plant 2,401557
400938,Crane Operator I,SMP1 EAF/LF,401056
400939,Crane Operator I,SMP2 EAF / LF,401057
400940,Head of Refractory,SMP2 Refractory,401557
400941,Refractory Supervisor,SMP1 Refractory,400222
400943,Supervisor EAF/LF - CCM,EAF/LF - CCM,400962
400948,IT Infrastructure Head,Information Technology,402754
400949,Sales Manager - Rebars & Wire Rod Export,Sales - Rebars and Wire Rod,400498
400950,Head of CCM (Acting),SMP1 CCM (Continues Casting Machine),400962
400954,Day Shift SMP 1 E&A Supervisor,OP / E&AM / SMP 1,400493
400956, Asst. Manager SMP 3 - Acting,EISC-Steel Making Plant 1,400962
400957,Asst . Manager  - Engineering Services,Cranes & Engineering Services,401311
400961,"Asst.Manager - Operation RM 1, 2, 3 & 5","Rolling Mills 1,2 ,3 & 5",400442
400962,Steel Making Plant Manager 1,Steel Making Plant 1,402559
400963,Refractory Supervisor,SMP1 Refractory,600360
400964,Supplier Quality Mgmt. Specialist.,Performance Excellence,402660
400966,DRP3 - E&A Day Shift Supervisor,DRP  Electrical & Automation,600251
400967,Supervisor -  HSM Dispatch,Dispatch Section,402413
400969,"Senior Roll, Stand & Guide Fitter","RM1,2,3 & 5 / Roll Shop",400150
400972,MSS Shift Sr Electrical Technician,Main Sub Station,400807
400974,Scrap Inspector,"SMP Conveyor, Scrap & Slagplant",401410
400982,Crane Operator I,SMP2 EAF / LF,401708
400983,Crane Operator I,SMP2 EAF / LF,401771
400985,Crane Operator I,SMP2 EAF / LF,401704
400986,RM2 & 3 Shift Senior Maint. Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400987,RM2 & 3 Shift Senior Maint. Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400988,Project Accountant,Project Cost Control,409999
400989,MH DRP Shift Supervisor,DRP & Jetty,400551
400990,Planning Supervisor,"Rolling Mills 1,2 ,3 & 5",400485
400991,Stacker Operator Phase 1,DRP & Jetty,401628
400993,Systems Analyst - HR,SAP Competency Group,401445
400994,Bundling Operator,"RM1,2,3 & 5 / Rolling Mill (2)",400554
400996,Senior Iron Works Technician,Workshop,400533
400997,Raw Materials Shift Operator,Warehouse,401460
401000,Project Cost Control Manager,Project Cost Control,0
401001,Technical Assistant,Projects,400448
401002,Day Shift DRP Maint. Technician,DRP 2 Maintenance,401218
401003,Crane Operator I,SMP2 EAF / LF,401704
401006,Sr. Shift Operator ASP 1,Utility Operation 1,401493
401007,Legal Officer,CEO Office,402535
401008,Health & Safety Sup. DRP3&SMP3 (Acting),Health & Safety,402755
401010,Senior Roller,"RM1,2,3 & 5 / Rolling Mill (2)",402564
401011,Receptionist,Housing & GS,401855
401012,Engineer - Chemical Lab EISC,Chemical Laboratory,401568
401013,Head of DRP,EISC - Direct Reduction Plant,401612
401014,Roll Shop Supervisor,HSM Roll Shop,402713
401015,Casting Supervisor,SMP1 CCM (Continues Casting Machine),400950
401016,HVAC Senior Technician,Central Electrical Services & Workshop,401250
401017,Finishing Assistant,Rolling Mills (2),400667
401018,Melter,SMP1 EAF/LF,401511
401019,Technical & Work Readiness Trainer,Strategy & Development,402518
401020,Crane Mechanical Supervisor - Ph 2,Cranes - Mechanical,402937
401021,Shift Senior Instrumentation Technician,DRP 1 Elect. & Autom.,401030
401022,CNC Operator,Rolling Mills - Roll Shop,409998
401026,Desktop Support Engineer,Information Technology,400948
401027,SAP Systems Developer,SAP Competency Group,401445
401029,Sampler Ph1,"Inspection and Testing RM1,2 & 3",402484
401030,Head of DRP 1 Elect. & Autom.,DRP 1 Elect. & Autom.,400455
401031,Stacker & Reclaimer Op Phase 2,DRP & Jetty,401628
401032,Technical Assistant,Utility & Water Plant,400450
401033,Shift Supervisor,DRP 1 Elect. & Autom.,401030
401034,Shift Supervisor,SMP 1 Elect. & Autom.,400493
401039,Senior Casting Operator,SMP2 CCM,401450
401040,HVAC Senior Technician,Central Electrical Services & Workshop,401250
401041,Grinding Operator,Rolling Mills - Roll Shop,409998
401042,Ladle Operator,SMP1 CCM (Continues Casting Machine),401063
401043,Day Shift Senior DRP Maint. Technician,DRP 1 Maint.,401283
401044,Melter,SMP2 EAF / LF,401771
401048,Crane Operator,SMP1 CCM (Continues Casting Machine),401015
401050,Crane Operator I,SMP1 EAF/LF,401706
401051,Casting Supervisor,SMP1 CCM (Continues Casting Machine),400950
401053,Shift Supervisor,SMP 1 Elect. & Autom.,400493
401055,Senior Panel Operator,Direct Reduction Plant  2,401890
401056,EAF / LF Supervisor,SMP1 EAF/LF,401477
401057, EAF/LF Supervisor,SMP2 EAF / LF,401557
401059,Mould Repairman,SMP1 CCM (Continues Casting Machine),401335
401060,Casting Supervisor,SMP2 CCM,409997
401061,Senior Casting Operator,SMP1 CCM (Continues Casting Machine),402429
401062,Senior Mould/Segment Repairman,SMP2 CCM,401450
401063,Senior Casting Operator,SMP1 CCM (Continues Casting Machine),400950
401064,Panel Operator,Direct Reduction Plant 1,401291
401065,Shift Controller Byproduct & Waste Mgmt.,Material Handling,401363
401067,Field Operator,Direct Reduction Plant  2,400932
401068,Transactional Buyer Spares/Cons,Materials & Spares/Cons.,402385
401069,Sr. Crane Mechanical Technician - Ph 2,Cranes - Mechanical,401020
401070,Engineering Manager,P&S / Engineering,400541
401071,Head of DRP 2,Direct Reduction Plant  2,400650
401072,MH DRP Shift Supervisor,DRP & Jetty,401628
401074,Level 2 Automation Eng - SMP1&2 & DRP1&2,SMP 1 Elect. & Autom.,400455
401075,Electrical Engr- Central Crane Maint.,Cranes - Electrical,400957
401076,Quality Control Inspector Ph1,"Inspection and Testing RM1,2 & 3",402484
401077,Senior Ladle Repairman,SMP1 Refractory,0
401079,Sr. Project Account,P & S / PC  / Project Cost Control,401000
401080,Performance Management System - Officer,Training & PMS Administration,401104
401081,Day Shift Electrical Supervisor,DRP 1 Elect. & Autom.,401030
401082,Guide Fitter,Rolling Mills - Roll Shop,402564
401083,Senior QA Engineer,Quality Assurance,400702
401085,Senior Panel Operator,Direct Reduction Plant 1,401272
401086,Senior Panel Operator,Direct Reduction Plant  2,401680
401089,Shift Senior Instrumentation Technician,DRP 1 Elect. & Autom.,401030
401091,Shift DRP Maint.Supervisor,DRP 2 Maintenance,401218
401093,Shift SMP Maint. Technician,SMP 1 and 1&2 Maintenance,401383
401096,Senior Finishing Technician,Workshop,400749
401099,Shift Operator RO2 Plant FW NG,Utility Operation 2,400635
401100,DS Sr. Instrumentation Tech SMP&DRP,OP / E&AM / DRP 1,401030
401104,Head of Training & PMS Administration,Training & PMS Administration,400376
401105,Sr. Crane Mechanical Technician - Ph 2,Cranes - Mechanical,401751
401106,Mechanical Test House Technician,"Inspection and Testing RM1,2 & 3",402484
401107,Senior Systems Analyst,Information Technology,402754
401108,Public Relation Officer,Public Relations,400240
401109,Senior Technician - Day Shift Mech. Main,HSM Maintenance - Mechanical Maintenance,400727
401110,Quality Control Inspector Ph1,"Inspection and Testing RM1,2 & 3",402484
401111,CCM Pulpit Operator,SMP1 CCM (Continues Casting Machine),600094
401112,Secretary - DRP 1&2,Direct Reduction Plant 1&2,400650
401114,Senior Roller,Rolling Mills (3),400554
401115,Receivables Officer - R&W,Credit and Collection,400337
401116,Roller Operator,Rolling Mill (1),401124
401117,Shift(Machine Shop) Operator,Workshop,401164
401118,Inventory Controller,Logistics (Warehouse),401460
401119,Raw Material Planner,Warehouse,401460
401120,Shift Supervisor,DRP 1 Elect. & Autom.,401030
401122,Mechanical Test House Technician Ph2,Inspection and Testing RM 4&5,400149
401123,Iron Works Technician,Workshop,400533
401124,Shift Supervisor,Rolling Mills (3),400445
401126,Officer - Goverment Relations,Government Relations,400432
401127,Instrumentation Engineer - DRP 1&2,DRP 1 Elect. & Autom.,401030
401128,Shift Senior Instrumentation Technician,OP / E&AM / DRP 2,401964
401129,Hopper Operator,DRP & Jetty,401628
401130,Finishing Technician,Workshop,400749
401131,Day Shift Sr Electrical Technician,SMP 1 Elect. & Autom.,400493
401132,Sr. Crane Electrical Technician - Ph 1,Cranes - Electrical,402926
401133,Shift SMP Maint. Technician,SMP 1 and 1&2 Maintenance,401383
401134,SMP Material Handling Operator,"SMP Conveyor, Scrap & Slagplant",401410
401136,Quality Control Inspector Ph 2,Inspection and Testing RM 4&5,400149
401137,Day Shift Sr. Instr. Tech. SMP&DRP,OP / E&AM / DRP 2,401964
401138,Shift Senior Instrumentation Technician,DRP 1 Elect. & Autom.,401030
401139,Shift Senior Instrumentation Technician,OP / E&AM / DRP 1,401030
401140,Shift Senior DRP Maint. Technician,DRP 1 Maint.,401188
401141,Stacker & Reclaimer Op Phase 2,DRP & Jetty,401628
401142,Roll & Stand Fitter,Rolling Mills - Roll Shop,400150
401143,Shift(Machine Shop) Operator,Workshop,401164
401145,Document Controller,Cranes & Engineering Services,401311
401147,Raw Material Planner,Warehouse,401460
401156,LRF Pulpit Operator,SMP2 EAF / LF,401771
401157,MH SMP Shift Supervisor,"SMP Conveyor, Scrap & Slagplant",402472
401158,Iron Works Technician,Workshop,400533
401159,Finishing Technician,Workshop,400749
401160,Mill Assistant,"RM1,2,3 & 5 / Rolling Mill (2)",400554
401161,Shift SMP Maint. Technician,SMP 1 and 1&2 Maintenance,401383
401162,Maint. Planner,Maint. Planning,401990
401163,RM1 Shift Maintenance Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
401164,Shift(Machine Shop) Operator,Workshop,400508
401165,Finishing Technician,Workshop,400749
401166,Shift SMP Maint. Technician,SMP 1 and 1&2 Maintenance,401383
401167,Shift SMP Maint. Technician,SMP 1 and 1&2 Maintenance,401383
401168,Senior Technician - Day Shift Mech. Main,HSM Maintenance - Mechanical Maintenance,0
401169,Shift SMP Maint. Technician,SMP 1 and 1&2 Maintenance,400746
401170,Shift Senior Electrical Technician,SMP 1 Elect. & Autom.,400493
401171,Senior Casting Operator,SMP2 CCM,401450
401172,Raw Materials Shift Operator,Warehouse,401460
401173,Day Shift Elect Tech - GE&W,Central Electrical Services & Workshop,401250
401179,Stand & Guide Stand Fitter,HSM Roll Shop,402070
401180,Roller Operator,Rolling Mills (2),400667
401181,Crane Operator,SMP1 CCM (Continues Casting Machine),401051
401182,Crane Operator I,SMP1 EAF/LF,401706
401183,Senior Shift Operator ASP2,Utility Operation 2,400659
401185,Sr. Shift Operator RM 2-3 WTP,Utility Operation 1,400614
401186,Spectro Chemist - Phase 1,Chemical Laboratories,400148
401187,Iron Works Technician,Workshop,400533
401188,Day Shift DRP Maint. Supervisor,DRP 1 Maint.,401283
401189,Finishing Technician,Workshop,400749
401192,RM2 & 3 Shift  Maintenance Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
401193,Finishing Assistant,Rolling Mills (3),400911
401194,Material Inspector,Logistics (Warehouse),401460
401199,Furnace Operator,Rolling Mills (2),400677
401200,Furnace Operator,Rolling Mill (1),400320
401201,Head of Operation RM5,EISC-Rolling Mills,400961
401202,MH DRP Shift Supervisor,DRP & Jetty,401628
401203,Senior Melter,SMP1 EAF/LF,401056
401205,Melter,SMP2 EAF / LF,401057
401207,Senior Ladle Repairman,SMP1 Refractory,0
401208,Finishing Assistant,Rolling Mills (2),400213
401209,Crane Operator II (Finished),Rolling Mills - Material Handling,400189
401210,Casting Supervisor,SMP2 CCM,409997
401211,Brick Layer,SMP2 Refractory,401783
401212,Hopper Operator,DRP & Jetty,401628
401213,Senior Ladle Repairman,SMP1 Refractory,0
401214,Day Shift Brick Layer,SMP1 Refractory,400941
401216,EAF Pulpit Operator,SMP2 EAF / LF,401057
401217,RM 1 Shift Senior Elect. Technician,"RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
401218,Day Shift DRP Maint. Supervisor,DRP 2 Maintenance,401283
401219,Vacuum Cleaner,SMP1 EAF/LF,401257
401220,Spectro Chemist - Phase 2,Chemical Laboratories,400148
401221,Mill Assistant,Rolling Mills (3),400911
401222,Crane Operator I,SMP1 EAF/LF,401511
401223,DS Shift Sr SMP Maint. Technician,SMP 1 and 1&2 Maintenance,402193
401224,Gas & Oxygen Specialist,SMP 1 and 1&2 Maintenance,402193
401225,Crane Operator,SMP1 CCM (Continues Casting Machine),402429
401229,Crane  Electrical  Supervisor - Ph 2,Cranes - Electrical,400791
401231,Finishing Assistant,Rolling Mills (3),400911
401233,Shift Senior Electrical Technician,DRP 1 Elect. & Autom.,401030
401234,Roller Operator,HSM Operation - Production,400218
401235,Roller Operator,Rolling Mills (3),400911
401236,Stacker Operator Phase 1,DRP & Jetty,401628
401237,Senior Iron Works Technician,Workshop,400533
401238,Crane Operator,SMP1 CCM (Continues Casting Machine),402429
401240,RM2 &3 Shift Maintenance Supervisor,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
401241,Condition Monitoring Technician,Condition Monitoring,400380
401242,Shift Senior Electrical Technician,SMP 2  Electrical & Automation,402150
401243,Panel Operator,Direct Reduction Plant 1,401272
401244,Senior Finishing Technician - Ph.2,Workshop,400749
401245,Project Finance Manager,Project Finance,400487
401246,Supplier Performance Analyst,Performance Excellence,402385
401250,Head of CES & Workshop (Acting),OP / E&AM / CES & Workshop,400455
401253,Ladle Repairman,SMP1 Refractory,0
401254,Brick Layer,SMP2 Refractory,401783
401256,Senior Brick Layer,SMP2 Refractory,401783
401257,EAF / LF Supervisor,SMP1 EAF/LF,400962
401258,Senior Field Operator,Direct Reduction Plant 1,400893
401259,Manpower Planning & Budget Specialist,"Emiratization,Manpower Plan.& Talent Acq",0
401260,Scrap Inspector,"SMP Conveyor, Scrap & Slagplant",401410
401261,LRF Pulpit Operator,SMP1 EAF/LF,401339
401262,Crane Operator I,SMP1 EAF/LF,401339
401263,Ladle Operator,SMP1 CCM (Continues Casting Machine),401051
401264,CCM Pulpit Operator,SMP1 CCM (Continues Casting Machine),402429
401265,Finishing Technician,Workshop,400749
401267,Senior Field Operator,Direct Reduction Plant 1,400893
401268,Field Operator,Direct Reduction Plant  2,401890
401269,Field Operator,Direct Reduction Plant 1,400893
401270,Panel Operator,Direct Reduction Plant  2,401680
401272,Production Supervisor,Direct Reduction Plant 1,400457
401273,Senior Field Operator,Direct Reduction Plant  2,401890
401274,Sales Officer - Rebars & Wire Rod Export,Sales - Rebars and Wire Rod,400949
401275,Sr. Events Officer,Events & Goverment Relations,402768
401276,Panel Operator,Direct Reduction Plant  2,402011
401277,Senior Field Operator,Direct Reduction Plant 1,401071
401278,Field Operator,Direct Reduction Plant 1,400893
401279,Field Operator,Direct Reduction Plant 1,400893
401281,Field Operator,Direct Reduction Plant  2,402011
401282,Shift Sr Electrical Technician (Acting),OP / E&AM / DRP 1,401030
401283,Head of DRP2 Maintenance,DRP 2 Maintenance,400451
401284,Raw Material Planner,Warehouse,401460
401285,Casting Operator,SMP1 CCM (Continues Casting Machine),402429
401286,Finishing Technician,Workshop,400749
401288,CCM Pulpit Operator,SMP1 CCM (Continues Casting Machine),402429
401289,Panel Operator,Direct Reduction Plant 1,400893
401290,Field Operator,Direct Reduction Plant  2,401680
401291,Production Supervisor,Direct Reduction Plant 1,400457
401292,Shift Brick Layer,SMP1 Refractory,0
401293,MH Shift Controller,"SMP Conveyor, Scrap & Slagplant",401421
401294,Day Shift Senior Electrical Technician,OP / E&AM / SMP 2,402150
401295,MH Shift Controller,"SMP Conveyor, Scrap & Slagplant",401421
401296,Field Operator,Direct Reduction Plant 1,400935
401299,CCM Pulpit Operator,SMP2 CCM,401450
401301,Crane Operator I,SMP1 EAF/LF,401339
401302,Finishing Technician,Workshop,400749
401306,Senior Brick Layer,SMP2 Refractory,401783
401307,Crane Operator I,SMP2 EAF / LF,401771
401308,Crane Operator,SMP1 CCM (Continues Casting Machine),401015
401309,Crane Operator I,SMP2 EAF / LF,401708
401310,Technical Trainer,Strategy & Development,402518
401311,Manager - Engineering Services,Cranes & Engineering Services,402559
401312,Recruitment Officer,"Emiratization,Manpower Plan.& Talent Acq",400504
401313,CCM Pulpit Operator,SMP2 CCM,401450
401314,Shift Electrical Technician,SMP 1 Elect. & Autom.,400493
401317,Shift Senior Electrical Technician,OP / E&AM / SMP 1,400493
401318,Shift Electrical Technician,SMP 2  Electrical & Automation,402150
401320,Weighbridge Operator,Weighbridge,400345
401321,HC & Training Excellence Officer,Strategy & Development,402518
401323,Senior E&AM Technician - Shift,HSM Maintenance - Electrical &Automation,400536
401324,Stacker Operator Phase 1,DRP & Jetty,401628
401325,Shift Senior Electrical Technician,OP / E&AM / SMP 1,400493
401326,Roller Operator,Rolling Mills (2),400677
401327,Mechanical Engineer - MH Maintenance,Cranes - Mechanical,400495
401329,Weighbridge Operator,Weighbridge,400345
401330,Production Planning Analyst,Operation,402559
401331,Senior Brick Layer,SMP2 Refractory,401783
401334,Senior Brick Layer,SMP1 Refractory,400941
401335,Sr Mould Repairman,SMP1 CCM (Continues Casting Machine),400950
401336,Melter,SMP1 EAF/LF,401339
401338,Senior Brick Layer,SMP1 Refractory,0
401339,Senior Melter,SMP1 EAF/LF,401477
401340,Senior Brick Layer,SMP1 Refractory,0
401341,Melter,SMP2 EAF / LF,401708
401343,Weighbridge Operator,Weighbridge,400345
401345,Secretary - SMP1,Steel Making Plant 1,400962
401346,Shift Senior Electrical Technician,SMP 1 Elect. & Autom.,400493
401347,Shift Controller (Semi Finished),SMP2 CCM,401450
401348,Weighbridge Operator,Weighbridge,400334
401349,Shift Controller (Semi Finished),SMP1 CCM (Continues Casting Machine),401063
401354,Shift Operator SMP2/DRP2/WTP,Utility Operation 2,400659
401355,CNC Operator,Rolling Mills - Roll Shop,409998
401357,Shift Controller Byproduct & Waste Mgmt.,Material Handling,401363
401358,Melter,SMP2 EAF / LF,401708
401359,MH Shift Controller,"SMP Conveyor, Scrap & Slagplant",401421
401360,Forming Operator,"RM1,2,3 & 5 / Rolling Mill (3)",400586
401361,Field Operator,Direct Reduction Plant 1,400935
401362,Senior Field Operator,Direct Reduction Plant  2,401071
401363,Supervisor - By Product & Waste Mgmt.,Material Handling,409996
401364,HC Services Officer,Employee Relation& Customer Serv,402938
401365,Sr. Shift Operator RM 2-3 WTP,Utility Operation 1,400614
401366,Crane Electrical  Supervisor - Ph 1,Cranes - Electrical,402926
401369,Sr.Shift Operator SMP1/DRP1/WTP,Utility Operation 1,401493
401371,Sr.Shift Operator SMP1/DRP1/WTP,Utility Operation 1,401493
401372,Weighbridge Operator,Weighbridge,400345
401373,Shift Controller Byproduct & Waste Mgmt.,Material Handling,401363
401377,Quality Control Inspector Ph1,"Inspection and Testing RM1,2 & 3",402484
401378,Senior Shift Operator ASP2,Utility Operation 2,400659
401380,Systems Analyst Operation,SAP Competency Group,401445
401383,Shift SMP Maint. Supervisor,SMP 1 and 1&2 Maintenance,402193
401384,HC Bus. & Professional Practice Partner,Human Capital,400376
401385,Hopper Operator,DRP & Jetty,401628
401387,Sr Security Officer,Security,400334
401388,MH SMP Shift Supervisor,"SMP Conveyor, Scrap & Slagplant",402472
401389,Day Shift SMP Maint. Technician,SMP 1 and 1&2 Maintenance,400746
401390,Stacker Operator Phase 1,DRP & Jetty,401628
401391,General Service Officer - Elec. Eng.,Housing & GS,400334
401396,Day RM Supervisor,"RM1,2,3 & 5 / RM5 Mechanical",600084
401400,Melter,SMP2 EAF / LF,0
401401,Senior Environment Engineer,Quality Assurance,400702
401402,Stacker & Reclaimer Op Phase 2,DRP & Jetty,401628
401403,Furnace Operator,Rolling Mills (3),400911
401404,Shift DRP Maint. Technician,DRP 2 Maintenance,401218
401405,MH DRP Shift Supervisor,DRP & Jetty,401628
401406,Desktop Support Engineer,Information Technology,400845
401407,MH SMP Shift Supervisor,"SMP Conveyor, Scrap & Slagplant",401410
401408,Stacker & Reclaimer Op Phase 2,DRP & Jetty,401628
401409,Finishing Assistant,Rolling Mills (2),400677
401410,Supervisor SMP Scrap,"SMP Conveyor, Scrap & Slagplant",402472
401411,Shift DRP Maint. Technician,DRP 2 Maintenance,401218
401412,HC Relations Officer,Employee Relation& Customer Serv,402938
401413,Day Shift SMP Maint. Technician,SMP 1 and 1&2 Maintenance,400746
401414,Shift SMP Maint. Technician,SMP 1 and 1&2 Maintenance,401383
401415,Finishing Assistant,Rolling Mills (2),400667
401416,SMP Material Handling Operator,"SMP Conveyor, Scrap & Slagplant",401410
401417,Quality Control Inspector Ph1,"Inspection and Testing RM1,2 & 3",402484
401418,MH Shift Controller,"SMP Conveyor, Scrap & Slagplant",401421
401419,Sr. Network  Engineer,Information Technology,400948
401420,Back Up Operator,Information Technology,400948
401421,Supervisor MH Conveyor Services,"SMP Conveyor, Scrap & Slagplant",402472
401423,RM1 Shift Maintenance Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
401424,Finishing Technician,Workshop,400749
401425,Systems Analyst,Information Technology,401107
401427,Melter,SMP1 EAF/LF,401706
401428,Ladle Repairman,SMP1 Refractory,0
401430,CCM Pulpit Operator,SMP1 CCM (Continues Casting Machine),401051
401431,Senior Casting Operator,SMP1 CCM (Continues Casting Machine),401063
401433,EAF Pulpit Operator,SMP1 EAF/LF,401056
401434,LRF Pulpit Operator,SMP1 EAF/LF,401706
401435,LRF Pulpit Operator,SMP1 EAF/LF,401339
401437,Field Operator,Direct Reduction Plant 1,401291
401438,Senior Field Operator,Direct Reduction Plant  2,401680
401440,Day Shift SMP Maint. Technician,SMP 1 and 1&2 Maintenance,401383
401441,Assistant Head of Shipping & Logistics,Logistics (Shipping & Logistics),402738
401442,Senior Ladle Repairman,SMP1 Refractory,0
401445,Manager SAP Competency Group,SAP Competency Group,400487
401446,Melter,SMP1 EAF/LF,401511
401447,LRF Pulpit Operator,SMP1 EAF/LF,401477
401450,Product Development Specialist,Steel Making Plant 2,409997
401451,Senior Casting Operator,SMP1 CCM (Continues Casting Machine),401051
401453,Senior Accountant,Finance & Costing,400370
401455,Shift SMP Maint. Supervisor,SMP 1 and 1&2 Maintenance,402193
401456,Shift SMP Maint. Supervisor,SMP 1 and 1&2 Maintenance,402193
401458,Weighbridge Operator,Weighbridge,400345
401459,Contract Admin. Specialist,Procurement Counsel,400486
401460,Head of Warehouse - Acting,Warehouse,402413
401461,Casting Supervisor,SMP1 CCM (Continues Casting Machine),400950
401466,HC Relations Officer,Employee Relation& Customer Serv,402938
401467,Systems Analyst - Production,SAP Competency Group,401445
401470,Day Shift Inst.Supervisor-SMP/ASP/ROP,SMP 1 Elect. & Autom.,400493
