GivenName,LastName,Username,password,Email,Address,Phone Number,Region,TargetOU
Petrie,Family Medical Practice,PetrieFMP,.randomise,manager@pfmp.com.au,"67 Frenchs Road, PETRIE",07 3285 6572,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Petrie,Medical Centre,PetrieMC,.randomise,fiona@anchormedical.com.au,"4 Dayboro Road, PETRIE",07 3285 5311,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Platinum,Medical,PlatinumMC,.randomise,anita.sharm@platinummedical.com.au,"18 Banfield Street, CHERMSIDE",07 3861 4455,Chermside,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Prasads ,Medical Centre,PrasadsMC,.randomise,craigurquhart@iinet.net.au,"721 Albany Creek Road, ALBANY CREEK",07 3264 2211,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Qld Injectors ,Health Network,QldInjectorsHN,.randomise,Johnws@quihn.org,"1 Hamilton Place, BOWEN HILLS",07 3620 8111,City,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Qld,Medical Doctors,QldMedicalD,.randomise,managerqldmedical@gmail.com,"Shop 8, 2 Patricks Road, ARANA HILLS",07 3351 8900,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Queen Street ,Medical Centre,QueenStMC,.randomise,manager@queenstmed.com.au ,"Level 3, 141 Queen Street, BRISBANE",07 3229 9355,City,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
QUT ,Medical Centre,QUTMC,.randomise,l.okeefe@qut.edu.au ,"X Block, Level 4, Gardens Point, 2 George Street, BRISBANE",07 3138 2321,Ciy,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Racecourse Village ,Medical Centre,RacecourseVillageMC,.randomise,manager@racecoursevillagemc.com.au,"Level 1, 188 Nudgee Road, ASCOT",07 3564 6400,Nundah,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Redcliffe Parade ,Family Medical Practice,RedcliffeParadeFamilyMedicalPractice,.randomise,shabnam@anchormedical.com.au,"Level 1, Shop 36, 20 Anzac Avenue, Bluewater Square Shopping Centre, REDCLIFFE",07 3284 5739,Redcliffe/Brighton,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Rode,Medical Clinic,RodeMC,.randomise,admin@rodemedical.com.au,"Shoop 17-19, Rode Shopping Centre, 734 Rode Road (Cnr Appleby Road), STAFFORD HEIGHTS",07 3359 6595,Chermside,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Rosalie Milton ,Clinic,RosalieMiltonClinic,.randomise,kylie@rosaliemc.com.au,"104A Haig Road, AUCHENFLOWER",07 3369 5433,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Rothwell,Family Practice,RothwellFP,.randomise,rothwellfamilypractice@gmail.com,"Unit 2, 618 Deception Bay Road, DECEPTION BAY",07 3204 8899,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Samford,Doctors Surgery,SamfordDoctorsSurgery,.randomise,manager@samforddoctors.com.au,"Unit 1A, 32 Main Street, SAMFORD",07 3289 6018,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Samford Valley ,Medical Centre,SamfordValleyMedicalCentre,.randomise,nurse@samfordmed.com.au,"26 Station Street, SAMFORD",07 3289 1712,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Sandgate,Doctors,SandgateSurg,.randomise,manager@sandgatedoctors.com.au,"Shop 5/51 Brighton Road, SANDGATE",07 3269 1131,Redcliffe/Brighton,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Scarborough Village ,Surgery,ScarboroughVS,.randomise,manager@scarboroughvillage.com.au,"91 Landsborough Avenue, SCARBOROUGH",07 3880 2111,Redcliffe/Brighton,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
SmartClinics,Clayfield,SmartClinicsClayfield,.randomise,clayfield.manager@smartclinics.com.au,"695 Sandgate Road, CLAYFIELD",07 3268 1937,Nundah,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
SmartClinics,Lutwyche ,LutwycheMC,.randomise,madison.dejonge@smartclinics.com.au,"Level 4, Lutwyche City, 543 Lutwyche Road, LUTWYCHE",07 3857 5060,Nundah,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
SmartClinics,Mango Hill,SmartClinicsMangoHill,.randomise,rothwell.manager@smartclinics.com.au,"Suite 15 Building 4, 1-21 Halpine Drive, MANGO HILL",07 3177 9520,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
SmartClinics,Pullenvale,SmartclinicsPullenvale,.randomise,pullenvale.nurse@smartclinics.com.au,"9/8 McCaskill Road, PULLENVALE",07 3107 8050,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
SmartClinics,Strathpine,MedplusStrathpine,.randomise,Strathpine.manager@smartclinics.com.au,"130-134 Gympie Road, STRATHPINE",07 3881 2311,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
St Lucia ,Medical,StLuciaMedical,.randomise,reception@stluciamedical.com.au,"32 Hawken Drive, ST LUCIA",07 3371 6005,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Stafford City ,Doctors,StaffordCityDoctors,.randomise,tracie.giles@doctorlink.com.au.,"Stafford City Shopping Centre, 93/400 Stafford Road, STAFFORD",07 3356 7744,Chermside,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Stafford Heights ,Medical Practice,StaffordHeightsMedicalPractice,.randomise,rebecca.jeffress@doctorlink.com.au,"40 Minimine Street, STAFFORD",07 3356 9144,Chermside,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Strathpine 7 Day ,Medical Centre,Strathpine7DayMC,.randomise,manager@strathpine7daymc.com.au,"Shop 1, Strathpine Plaza, 445-451 Gympie Road, STRATHPINE",07 3881 1866,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Strathpine ,Family Medical Centre,StrathpineFamilyMC,.randomise,rtaylan@hotmail.com,"Shop 10A, Strathpine Plaza, Cnr Bells Pocket & Gympie Roads, STRATHPINE",07 3889 8544,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Strathpine ,GP Super Clinic,StrathpineGPSC,.randomise,bookkeeper@strathpinegpsuperclinic.com.au,"11/328 Gympie Road, STRATHPINE",07 3480 0111,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Telegraph Road ,Clinic,TelegraphRC,.randomise,ejstrc@tpg.com.au,"Shop 26, Bracken Ridge Shopping Plaza, 250 Telegraph Road, BRACKEN RIDGE",07 3261 7000,Redcliffe/Brighton,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Gasworks ,Medical Practice,TeneriffeFD,.randomise,manager@teneriffedoctors.com.au,"Gasworks Plaza, Suite A3/76 Skyring Terrace, NEWSTEAD",07 3852 4299,City,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
The Courtyard ,Family Medical Centre,TheCourtyardFamilyMC,.randomise,courtyardfamilymedical@gmail.com,"Shop 7, 2060 Moggill Road, KENMORE",07 3378 6789,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
The Family Practice at ,Burpengary,TheFamilyPracBurp,.randomise,familypractice.burpengary@australiandoctors.com.au,"Shop 17, Burpengary Plaza, Station Road, BURPENGARY",07 3888 9500,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
The Family Practice at ,Kallangur,TheFamilyPracKall,.randomise,liesl@australiandoctors.com.au,"1380 Anzac Avenue, KALLANGUR",07 3204 4222,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
The hub ,Medical Centre,HUBMedicalCentre,.randomise,belinda@thehubmedicalcentre.net.au   ,"115 Buckley Road, Cnr Buckley & Uhlmann Roads, BURPENGARY",07 5433 1500,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
The Lakes ,Family Medical Centre,TheLakesFMC,.randomise,lakesdoc@bigpond.net.au,"25 Morayfield Road, CABOOLTURE",07 5499 3224,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Toombul,Family Clinic,ToombulFC,.randomise,practice.manager@toombulfamilyclinic.com.au,"Shop 125-126 Centro Shopping Centre, 1015 Sandgate Road, TOOMBUL",07 3266 1515,Nundah,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Toombul,Medical Centre,ToombulMC,.randomise,toombulmc@gmail.com,"Shop 205, Centro Toombul, 1015 Sandgate Road, TOOMBUL",07 3266 5277,Nundah,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Turbot Street ,Medical Centre,TurbotStMC,.randomise,"shruti@theinfinitygroup.net.au
nurse@centralstationmc.com.au
nurse@turbotstmc.com.au","Level 1, Spring Hill Market Place, 375 Turbot Street, SPRING HILL",07 3839 0128,City,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Ubuntu Integrative ,Medical ,UbuntuIntegrativeMedicine ,.randomise,reception@ubuntumedical.com.au,"239 Stafford Road, STAFFORD",07 3857 3777,Chermside,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Wamuran ,Doctors,WamuranDocs,.randomise,david@imsg.net.au,"1100 D'Aguilar Highway, WAMURAN",07 5496 6399,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Warner,Family Medical Practice,WarnerFamilyMP,.randomise,manager@warnerfmp.com.au,"349-351 Samsonvale Road, WARNER",07 36882 3244,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Warner Lakes ,Family Practice,WarnerLakesFP,.randomise,manager@warnerlakesfamilypractice.com.au,"1185B Old Northern Road, WARNER",07 3448 0163,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Warnercare,Medical Practice,WarnercareMP,.randomise,manager@warnermedicalpractice.com.au,"Shop 16/353 Samsonvale Road, WARNER",07 3882 2366,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Welsby Parade,Medical Centre,WelsbyPMC,.randomise,wpmc@bigpond.net.au,"Cnr Kangaroo Avenue & Welsby Parade, BONGAREE",07 3408 1333,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Windsor,Family Medical Centre,WindsorFMC,.randomise,drakramhossain@optusnet.com.au,"222 Lutwyche Road, WINDSOR",07 3357 6888,Nundah,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Wongabel,Family Practice,WongabelFP,.randomise,s.b.medical@bigpond.com,"5 Wongabel Street, KENMORE",07 3378 3265,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Woodford,Family Medical Centre,WoodfordFamily,.randomise,sarah.ross@fullertonhealth.com.au,"64 Archer Street, WOODFORD",07 5434 5000,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Woody Point ,Medical Centre,WoodyPoint,.randomise,pmanager.woodypointmedical@gmail.com,"28 Lilla Street, WOODY POINT",07 3284 9452,Redcliffe/Brighton,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
